customer_grade,quote_stage,quantity,estimated_amount,days_until_due,converted
A,협의중,4,99000000,31,0
B,초기,4,102000000,34,0
B,협의중,2,29000000,19,0
C,협의중,2,102000000,16,0
A,협의중,2,19000000,16,1
B,협의중,3,44000000,35,0
C,협의중,4,101000000,12,0
A,초기,3,67000000,31,0
B,유력,2,26000000,20,1
C,유력,5,100000000,9,1
D,협의중,2,20000000,32,1
A,협의중,4,63000000,19,1
B,협의중,2,37000000,28,1
B,초기,3,65000000,9,1
B,유력,2,55000000,15,1
B,협의중,4,84000000,30,1
A,초기,1,46000000,10,1
A,초기,1,86000000,9,1
D,협의중,4,68000000,28,1
C,유력,3,81000000,16,1
A,협의중,6,94000000,21,0
A,협의중,6,97000000,33,0
D,협의중,2,58000000,7,1
B,협의중,1,103000000,33,0
A,유력,1,39000000,3,1
D,협의중,4,49000000,33,1
C,협의중,3,47000000,35,1
A,초기,3,120000000,24,0
C,유력,3,102000000,34,1
B,유력,3,108000000,24,0
C,유력,5,79000000,10,1
B,협의중,2,70000000,17,0
A,협의중,2,91000000,30,1
C,초기,4,99000000,9,0
D,협의중,4,85000000,14,0
C,유력,4,93000000,29,0
B,초기,5,84000000,24,0
A,유력,5,119000000,25,1
D,협의중,6,36000000,32,0
B,초기,5,103000000,13,0
B,유력,1,76000000,5,1
C,초기,4,57000000,3,0
C,초기,3,35000000,25,0
C,협의중,5,37000000,8,0
A,협의중,4,92000000,8,1
A,유력,2,104000000,27,1
D,초기,3,56000000,22,0
B,유력,5,35000000,15,1
B,초기,3,28000000,22,0
C,협의중,4,118000000,30,1
B,협의중,5,105000000,25,0
B,협의중,4,77000000,4,0
A,유력,1,114000000,11,1
B,초기,5,65000000,11,0
D,유력,1,114000000,28,1
C,협의중,5,76000000,6,1
B,유력,1,60000000,9,0
B,협의중,1,33000000,35,0
A,초기,2,89000000,34,1
D,협의중,2,56000000,22,0
D,유력,5,106000000,15,1
A,협의중,1,84000000,9,1
A,초기,5,74000000,28,1
A,협의중,2,48000000,19,0
C,유력,5,33000000,30,1
A,초기,6,102000000,18,1
C,협의중,4,79000000,21,1
A,협의중,3,103000000,20,1
C,초기,4,72000000,12,1
B,협의중,1,92000000,22,1
C,협의중,4,23000000,25,0
B,협의중,3,19000000,13,1
D,협의중,3,108000000,27,0
A,초기,6,110000000,24,0
D,초기,6,56000000,28,0
C,협의중,4,95000000,14,0
D,유력,5,51000000,11,0
B,협의중,5,97000000,28,1
A,협의중,2,30000000,9,1
C,협의중,2,116000000,18,1
D,협의중,4,114000000,29,0
A,초기,1,113000000,7,0
B,협의중,1,40000000,23,1
B,초기,6,91000000,15,0
B,협의중,2,43000000,13,1
B,유력,1,92000000,4,0
C,초기,2,18000000,26,0
B,유력,3,41000000,34,1
A,유력,5,63000000,25,1
B,초기,1,74000000,30,0
D,협의중,2,118000000,22,1
B,초기,5,60000000,4,0
D,유력,3,67000000,25,1
D,유력,1,86000000,18,0
D,협의중,4,97000000,6,0
D,협의중,3,101000000,4,1
B,초기,1,35000000,16,0
C,유력,6,25000000,18,1
C,협의중,5,107000000,5,0
A,협의중,6,96000000,8,0
B,초기,6,23000000,9,1
B,협의중,4,79000000,22,0
D,초기,1,21000000,15,0
D,협의중,6,20000000,33,1
C,협의중,4,107000000,30,0
A,초기,5,65000000,25,1
B,초기,2,29000000,3,0
C,유력,5,90000000,5,0
A,협의중,1,27000000,6,1
A,초기,3,95000000,18,0
A,협의중,6,33000000,7,1
D,초기,6,112000000,25,0
D,협의중,3,64000000,21,0
A,유력,3,107000000,35,1
B,협의중,5,80000000,20,1
D,유력,5,47000000,22,0
A,협의중,2,22000000,18,1
C,협의중,1,20000000,34,0
B,협의중,3,28000000,6,1
C,협의중,4,67000000,31,1
A,초기,4,86000000,6,0
A,유력,1,95000000,24,0
D,유력,5,45000000,4,0
C,협의중,4,118000000,6,0
B,유력,6,54000000,32,1
C,유력,3,38000000,27,1
D,초기,1,53000000,20,1
A,협의중,3,91000000,28,1
B,초기,3,118000000,3,0
B,협의중,3,40000000,31,1
B,협의중,3,79000000,16,1
B,초기,5,88000000,23,0
B,초기,3,51000000,34,1
C,초기,5,101000000,6,0
C,초기,5,74000000,23,1
C,초기,6,51000000,19,1
C,유력,5,109000000,5,0
B,초기,4,32000000,35,1
A,협의중,6,71000000,7,1
D,초기,3,95000000,26,0
B,협의중,4,55000000,4,1
A,유력,5,21000000,9,1
C,협의중,6,83000000,25,0
B,협의중,6,110000000,12,1
D,초기,1,46000000,35,0
C,협의중,5,111000000,10,0
B,초기,4,102000000,31,0
A,협의중,2,60000000,18,0
D,초기,3,113000000,10,0
B,유력,4,64000000,8,1
B,유력,6,79000000,17,1
B,협의중,2,86000000,18,0
B,협의중,2,95000000,19,0
B,초기,4,71000000,35,0
B,협의중,2,41000000,32,1
A,초기,5,109000000,33,0
A,초기,4,21000000,13,0
A,유력,4,72000000,25,1
C,초기,3,33000000,24,0
D,협의중,5,31000000,5,0
D,유력,4,98000000,31,0
B,유력,6,35000000,14,0
B,유력,5,28000000,12,0
B,협의중,6,76000000,27,1
A,협의중,3,116000000,9,1
B,초기,5,85000000,35,0
B,협의중,3,114000000,14,0
A,유력,6,44000000,30,1
B,협의중,1,62000000,21,1
B,협의중,2,39000000,21,0
B,협의중,1,47000000,20,1
A,유력,2,21000000,5,0
B,유력,1,80000000,4,1
B,유력,4,111000000,31,1
C,초기,1,109000000,10,0
B,초기,2,53000000,10,0
C,협의중,2,111000000,7,1
B,초기,6,112000000,35,0
A,협의중,1,73000000,9,0
C,협의중,5,102000000,5,0
C,초기,5,66000000,17,0
B,초기,2,111000000,34,0
A,유력,5,110000000,16,1
A,협의중,2,108000000,14,1
C,협의중,6,92000000,18,0
B,협의중,2,56000000,17,0
C,협의중,6,68000000,25,0
B,초기,3,71000000,31,0
C,초기,4,58000000,10,0
B,초기,4,80000000,29,0
A,초기,2,118000000,29,1
C,초기,3,70000000,28,0
B,초기,1,52000000,34,0
B,유력,3,75000000,29,1
D,협의중,6,32000000,24,1
B,유력,1,120000000,27,1
C,유력,5,26000000,6,0
B,초기,2,86000000,28,0
A,유력,3,60000000,29,1
C,유력,1,20000000,9,1
C,초기,3,56000000,4,0
C,초기,3,113000000,10,0
B,협의중,6,52000000,8,1
B,협의중,6,71000000,4,1
C,협의중,2,30000000,28,1
C,협의중,3,72000000,35,0
B,협의중,1,51000000,33,1
B,초기,4,89000000,20,0
D,협의중,2,66000000,4,0
C,유력,5,109000000,9,0
B,초기,2,75000000,26,0
A,협의중,2,98000000,8,1
A,유력,4,93000000,18,1
B,유력,5,110000000,17,1
B,협의중,6,61000000,12,1
C,협의중,1,52000000,16,0
C,협의중,3,101000000,18,0
C,협의중,6,111000000,8,0
B,초기,2,114000000,3,0
C,초기,4,32000000,5,0
B,협의중,5,80000000,11,0
B,협의중,3,33000000,30,0
C,유력,3,84000000,23,0
B,협의중,2,55000000,16,0
D,협의중,5,50000000,33,0
D,유력,6,35000000,13,0
C,초기,4,40000000,12,0
D,초기,6,42000000,15,0
B,협의중,1,97000000,32,0
A,협의중,2,62000000,3,0
B,유력,4,92000000,22,1
C,유력,5,87000000,15,1
A,협의중,3,40000000,19,1
A,협의중,6,116000000,27,1
C,협의중,3,112000000,33,1
A,초기,2,29000000,12,1
B,초기,1,24000000,11,0
B,협의중,3,56000000,35,0
A,협의중,4,108000000,33,1
C,협의중,1,95000000,16,0
D,유력,6,36000000,30,0
B,유력,6,33000000,30,0
A,유력,4,116000000,25,1
A,협의중,2,66000000,26,1
C,초기,4,64000000,15,1
B,초기,3,50000000,35,0
C,초기,3,100000000,33,0
D,협의중,3,98000000,6,0
C,유력,4,95000000,32,0
B,유력,5,31000000,5,1
C,협의중,6,112000000,14,0
A,협의중,1,25000000,31,1
A,초기,5,53000000,15,0
C,협의중,6,58000000,13,0
B,유력,5,19000000,28,1
C,초기,2,115000000,35,0
B,초기,1,53000000,15,0
B,협의중,1,57000000,20,1
A,협의중,6,29000000,32,1
D,초기,1,41000000,23,0
D,유력,1,45000000,26,1
D,유력,3,105000000,15,0
C,협의중,4,108000000,21,1
A,협의중,2,42000000,20,0
A,초기,6,74000000,19,1
B,협의중,6,84000000,31,0
C,초기,5,67000000,12,0
A,협의중,3,100000000,21,1
C,협의중,6,119000000,20,1
C,초기,4,51000000,5,0
B,협의중,4,35000000,32,0
B,협의중,5,22000000,23,0
C,유력,1,38000000,29,1
B,유력,2,63000000,22,1
B,유력,4,96000000,32,0
C,협의중,4,49000000,19,0
C,협의중,4,56000000,5,0
D,유력,5,31000000,29,0
B,협의중,5,21000000,13,0
D,유력,6,85000000,15,0
B,초기,6,60000000,6,0
B,유력,3,76000000,28,1
A,초기,2,56000000,22,1
A,초기,1,110000000,18,1
B,유력,1,79000000,13,1
B,협의중,6,45000000,33,0
C,협의중,1,67000000,11,1
D,협의중,3,54000000,30,0
B,협의중,6,112000000,4,0
C,유력,3,64000000,24,1
A,협의중,4,27000000,17,1
A,초기,4,29000000,24,1
A,초기,3,67000000,33,1
D,협의중,2,68000000,9,0
A,협의중,1,101000000,28,0
A,협의중,5,82000000,27,0
A,협의중,6,69000000,30,0
B,초기,6,32000000,31,0
C,협의중,5,64000000,10,0
D,협의중,4,104000000,8,1
B,유력,5,51000000,15,1
C,유력,4,24000000,32,1
A,협의중,3,24000000,26,1
B,초기,1,87000000,20,1
B,초기,3,56000000,5,0
B,초기,6,68000000,18,1
B,초기,2,99000000,34,0
B,유력,6,97000000,18,0
D,유력,5,90000000,32,1
B,초기,5,110000000,9,0
D,초기,6,113000000,22,0
A,유력,3,110000000,8,0
B,초기,2,91000000,19,0
C,협의중,2,106000000,6,0
B,유력,4,53000000,14,1
C,협의중,2,104000000,21,0
B,초기,4,102000000,11,0
B,유력,6,58000000,9,1
A,협의중,1,96000000,21,0
C,협의중,4,99000000,24,0
B,협의중,3,61000000,23,1
B,협의중,6,81000000,16,0
A,협의중,4,22000000,8,1
B,협의중,2,113000000,26,1
C,협의중,4,21000000,12,0
A,협의중,4,71000000,4,0
B,협의중,2,66000000,11,1
D,초기,4,45000000,16,0
B,초기,2,116000000,28,0
B,초기,5,53000000,23,0
C,협의중,6,99000000,23,0
B,초기,4,81000000,32,0
D,초기,2,69000000,21,1
C,유력,6,40000000,9,1
C,유력,4,42000000,4,0
A,협의중,1,94000000,29,0
B,초기,5,98000000,33,0
D,초기,5,119000000,27,0
D,유력,2,76000000,26,0
A,협의중,6,43000000,23,1
A,초기,5,77000000,32,1
C,유력,2,77000000,35,0
C,유력,2,49000000,32,0
A,협의중,6,104000000,29,0
D,유력,1,118000000,29,0
D,협의중,6,117000000,4,0
C,초기,4,110000000,5,0
C,협의중,6,74000000,30,0
A,유력,5,114000000,10,1
B,협의중,2,49000000,33,1
A,협의중,1,76000000,34,0
C,협의중,6,74000000,24,0
C,협의중,5,22000000,11,1
B,초기,3,90000000,26,0
B,협의중,5,99000000,22,0
B,초기,6,106000000,11,1
B,협의중,6,47000000,4,0
B,초기,1,51000000,26,0
C,유력,4,79000000,13,0
C,협의중,5,58000000,26,0
D,협의중,5,79000000,14,0
B,협의중,1,61000000,17,1
A,초기,6,119000000,10,0
B,협의중,6,19000000,17,0
B,초기,6,30000000,24,0
B,유력,6,86000000,8,0
A,협의중,2,49000000,19,0
A,유력,2,47000000,32,1
D,초기,3,29000000,15,0
D,유력,2,84000000,22,1
A,협의중,5,79000000,32,1
D,초기,6,27000000,15,0
B,협의중,1,87000000,16,0
B,초기,4,32000000,31,0
A,유력,5,114000000,32,0
B,협의중,3,81000000,14,1
B,초기,6,56000000,19,0
A,초기,5,82000000,22,0
A,유력,2,80000000,3,1
D,협의중,2,40000000,7,0
C,초기,4,61000000,14,1
A,초기,3,82000000,22,0
B,초기,3,96000000,16,0
A,초기,4,118000000,13,0
C,초기,5,78000000,29,0
B,유력,4,56000000,26,1
B,협의중,6,58000000,31,1
B,유력,1,115000000,28,1
B,협의중,2,76000000,20,1
C,초기,6,50000000,21,0
A,협의중,4,59000000,15,0
C,협의중,3,31000000,7,1
B,협의중,6,93000000,33,0
D,유력,4,106000000,34,1
D,협의중,1,30000000,6,0
B,협의중,3,32000000,33,1
C,협의중,6,70000000,12,0
B,협의중,5,29000000,31,1
B,유력,3,89000000,21,0
A,유력,6,109000000,23,0
B,유력,6,45000000,14,1
A,협의중,2,104000000,19,1
C,초기,1,100000000,29,0
C,유력,5,25000000,35,1
B,유력,5,120000000,23,0
B,협의중,6,26000000,7,0
D,유력,5,38000000,35,0
A,유력,5,101000000,15,1
C,협의중,3,77000000,31,0
D,초기,3,27000000,14,0
B,협의중,6,112000000,30,0
B,초기,5,67000000,4,1
B,초기,2,92000000,23,0
C,초기,5,63000000,12,0
A,협의중,1,21000000,5,0
B,유력,3,58000000,17,1
A,초기,3,47000000,16,0
A,유력,4,33000000,27,1
D,유력,2,66000000,6,0
B,초기,4,93000000,10,1
A,유력,6,84000000,10,1
A,유력,6,95000000,25,0
B,초기,1,120000000,35,0
B,초기,4,20000000,3,0
B,유력,1,63000000,26,0
C,협의중,6,56000000,17,0
A,협의중,4,78000000,4,0
B,협의중,3,23000000,12,0
A,초기,5,37000000,11,0
C,초기,2,112000000,21,0
B,초기,2,40000000,12,0
C,초기,1,118000000,13,1
A,협의중,3,51000000,23,1
A,초기,4,22000000,12,0
A,협의중,5,110000000,13,1
A,유력,1,71000000,7,1
B,유력,5,74000000,11,0
C,초기,4,78000000,19,1
C,협의중,5,103000000,9,0
C,유력,2,34000000,17,1
C,초기,6,28000000,9,0
B,협의중,2,46000000,19,1
C,협의중,4,103000000,20,0
A,협의중,6,36000000,5,0
C,협의중,2,41000000,3,1
A,유력,2,68000000,23,1
B,유력,2,98000000,28,1
A,협의중,5,74000000,10,0
C,협의중,3,61000000,14,1
C,협의중,5,76000000,9,0
B,협의중,1,118000000,26,0
A,협의중,1,47000000,32,0
A,협의중,2,62000000,22,1
B,유력,5,41000000,28,0
D,협의중,2,105000000,17,0
A,협의중,5,94000000,12,0
B,초기,5,64000000,17,0
D,초기,2,30000000,13,0
D,초기,6,37000000,30,0
B,유력,4,55000000,27,0
D,유력,4,59000000,11,0
B,초기,6,89000000,22,0
C,협의중,1,25000000,29,1
B,초기,2,68000000,13,0
B,초기,3,27000000,17,0
B,유력,1,110000000,12,1
A,초기,3,19000000,10,0
B,유력,5,78000000,17,1
B,초기,6,96000000,32,0
D,유력,6,61000000,20,0
A,유력,3,32000000,32,1
A,협의중,4,115000000,21,1
A,유력,5,94000000,26,1
C,협의중,6,73000000,29,1
A,유력,6,111000000,20,0
C,협의중,6,50000000,25,1
A,유력,2,92000000,34,1
B,초기,6,80000000,27,0
D,협의중,1,95000000,9,0
C,유력,5,30000000,10,0
A,협의중,6,95000000,29,0
C,초기,6,118000000,31,0
B,협의중,4,98000000,30,0
A,협의중,1,98000000,24,1
D,유력,6,76000000,19,1
C,협의중,2,53000000,31,0
B,협의중,6,51000000,13,1
C,협의중,3,112000000,28,0
C,초기,4,29000000,24,0
B,유력,2,58000000,22,1
C,협의중,3,97000000,34,0
C,초기,6,80000000,25,0
B,협의중,2,39000000,23,1
A,협의중,5,107000000,21,0
B,협의중,6,27000000,15,1
C,유력,6,69000000,19,1
B,협의중,2,67000000,9,0
C,유력,3,96000000,8,1
A,유력,2,88000000,12,1
B,협의중,6,46000000,18,0
B,유력,2,19000000,21,1
A,협의중,4,71000000,15,1
C,협의중,6,91000000,27,0
C,유력,3,73000000,26,1
D,초기,5,63000000,7,0
A,유력,6,49000000,11,1
D,유력,6,78000000,23,1
C,초기,3,109000000,17,0
B,초기,5,74000000,34,0
A,유력,1,89000000,31,1
A,협의중,6,36000000,7,1
A,협의중,5,50000000,4,0
B,협의중,2,68000000,16,0
B,협의중,3,60000000,17,1
D,유력,2,116000000,23,0
D,초기,3,93000000,10,0
A,초기,4,111000000,13,0
A,협의중,2,41000000,4,0
B,초기,1,30000000,28,0
D,협의중,4,66000000,33,1
B,초기,3,40000000,30,0
B,초기,4,43000000,17,0
C,초기,4,114000000,9,0
A,협의중,5,25000000,26,1
A,유력,1,18000000,23,1
A,유력,5,65000000,7,0
A,협의중,2,86000000,16,0
A,협의중,2,94000000,26,1
D,협의중,2,82000000,12,0
B,협의중,5,119000000,10,0
B,초기,3,105000000,14,0
A,초기,2,95000000,12,0
D,유력,6,88000000,27,0
D,협의중,1,61000000,18,0
A,유력,2,119000000,28,1
A,유력,4,102000000,9,0
A,협의중,5,90000000,28,0
C,초기,2,75000000,15,0
C,협의중,4,28000000,34,1
A,협의중,5,67000000,22,1
C,초기,6,107000000,6,0
A,유력,3,93000000,14,1
C,협의중,1,56000000,27,1
D,초기,6,73000000,35,0
A,협의중,6,23000000,16,1
D,유력,6,58000000,7,0
B,협의중,5,19000000,5,0
A,협의중,3,18000000,18,1
D,협의중,2,67000000,17,0
C,초기,2,94000000,18,0
B,유력,6,91000000,22,1
D,협의중,3,70000000,3,0
B,초기,2,117000000,34,0
A,협의중,1,107000000,31,1
C,초기,1,32000000,13,0
B,초기,3,39000000,19,0
C,협의중,3,86000000,21,0
B,초기,1,68000000,15,0
B,협의중,2,84000000,5,0
A,초기,4,41000000,8,0
C,초기,5,65000000,31,0
B,유력,6,82000000,15,0
C,초기,1,37000000,24,0
B,초기,4,43000000,6,0
A,초기,1,46000000,14,0
B,협의중,1,74000000,7,0
C,초기,2,36000000,23,1
C,협의중,5,20000000,13,0
B,초기,1,105000000,17,1
A,초기,4,116000000,10,0
C,초기,5,27000000,4,0
D,유력,6,67000000,21,0
B,유력,2,105000000,34,0
B,유력,4,79000000,12,1
D,초기,3,99000000,14,0
B,초기,2,65000000,4,0
B,초기,4,108000000,17,0
A,협의중,2,69000000,29,0
B,협의중,4,77000000,26,1
C,초기,5,44000000,18,0
A,초기,6,102000000,26,0
B,유력,4,65000000,22,1
A,초기,6,75000000,22,0
D,유력,4,24000000,15,1
B,초기,4,84000000,30,0
B,협의중,4,90000000,14,1
C,협의중,2,100000000,28,0
C,초기,3,77000000,18,0
A,유력,3,96000000,5,0
C,초기,1,24000000,24,0
B,유력,2,113000000,12,0
B,초기,5,58000000,31,0
C,초기,1,120000000,13,0
A,협의중,5,97000000,29,1
B,협의중,3,106000000,18,0
C,초기,4,30000000,5,0
B,협의중,2,116000000,4,0
D,협의중,4,92000000,14,0
A,협의중,6,90000000,25,0
D,유력,1,40000000,11,0
C,유력,1,119000000,15,0
B,협의중,1,63000000,34,1
D,협의중,2,64000000,19,1
B,협의중,1,80000000,23,0
A,초기,3,51000000,31,0
B,초기,6,76000000,8,0
A,유력,5,19000000,4,1
A,협의중,4,22000000,20,1
B,유력,4,70000000,24,1
B,초기,2,80000000,21,1
D,유력,1,103000000,23,0
D,초기,2,115000000,9,0
A,초기,5,120000000,18,0
D,초기,1,112000000,24,0
C,초기,6,76000000,24,0
A,초기,6,35000000,15,0
D,초기,6,29000000,3,0
C,초기,6,28000000,27,0
B,협의중,2,108000000,34,0
A,초기,6,93000000,6,0
B,초기,2,51000000,12,0
B,초기,1,107000000,7,1
C,유력,2,38000000,28,0
B,협의중,5,99000000,21,1
B,협의중,2,85000000,3,0
D,초기,2,26000000,6,0
B,협의중,5,114000000,30,1
C,협의중,1,113000000,8,1
C,유력,6,105000000,7,0
C,협의중,3,113000000,33,0
B,협의중,5,113000000,15,1
A,협의중,4,77000000,32,1
C,유력,4,77000000,32,1
A,유력,4,21000000,11,1
B,유력,2,69000000,26,1
C,협의중,2,37000000,14,1
A,협의중,3,61000000,15,1
B,협의중,5,53000000,17,1
C,협의중,4,38000000,34,0
A,유력,1,59000000,33,1
A,협의중,4,120000000,16,1
A,협의중,2,61000000,22,1
B,초기,2,85000000,21,0
B,협의중,2,65000000,33,1
B,협의중,2,59000000,17,0
D,협의중,4,118000000,20,0
B,협의중,2,34000000,23,0
B,유력,6,93000000,18,0
A,협의중,1,58000000,35,0
B,초기,3,28000000,34,0
D,유력,6,52000000,7,1
C,유력,3,109000000,12,1
C,협의중,2,99000000,3,0
C,협의중,2,118000000,20,0
B,협의중,5,43000000,15,0
B,초기,6,25000000,15,0
B,초기,4,72000000,3,0
A,초기,1,101000000,29,1
B,유력,2,75000000,27,1
B,유력,1,53000000,32,1
C,협의중,2,93000000,11,1
A,초기,3,88000000,33,0
B,협의중,5,21000000,30,0
B,협의중,1,100000000,21,1
C,초기,5,25000000,11,0
D,초기,1,84000000,13,0
A,유력,3,61000000,8,1
C,협의중,5,25000000,29,0
B,초기,1,44000000,31,1
C,유력,2,48000000,6,0
B,초기,6,46000000,33,1
A,초기,2,35000000,35,1
B,협의중,4,20000000,35,0
B,협의중,6,71000000,7,1
B,초기,5,80000000,3,0
A,유력,5,39000000,28,1
B,유력,6,97000000,21,1
B,협의중,2,114000000,19,1
B,초기,1,101000000,21,0
B,유력,6,83000000,28,1
A,협의중,1,113000000,16,1
B,협의중,6,104000000,16,0
C,협의중,1,100000000,17,0
D,초기,5,21000000,22,1
C,유력,2,81000000,27,0
B,협의중,2,80000000,33,0
B,유력,2,27000000,9,0
D,협의중,1,53000000,3,0
B,협의중,2,30000000,6,1
C,유력,6,65000000,7,1
C,초기,1,33000000,22,1
B,유력,2,33000000,4,0
D,초기,1,29000000,18,0
D,협의중,3,52000000,4,0
B,협의중,2,45000000,7,1
B,초기,4,77000000,29,1
A,유력,6,26000000,20,1
C,초기,3,21000000,20,0
A,협의중,1,101000000,5,0
C,협의중,6,80000000,17,0
C,초기,1,94000000,26,0
B,초기,6,65000000,12,0
C,협의중,5,69000000,26,0
B,초기,6,114000000,34,0
B,유력,1,95000000,19,0
B,협의중,4,75000000,13,0
B,유력,6,36000000,24,1
C,초기,5,35000000,16,0
B,유력,1,82000000,5,0
B,초기,5,103000000,13,0
C,유력,4,32000000,23,0
C,협의중,4,84000000,28,1
B,협의중,1,46000000,32,1
C,유력,6,18000000,35,0
B,유력,6,57000000,18,0
B,초기,6,30000000,15,1
A,초기,2,117000000,7,1
B,초기,3,102000000,28,1
B,협의중,3,44000000,22,1
B,협의중,5,93000000,5,0
D,협의중,3,21000000,19,0
D,협의중,5,116000000,9,0
B,유력,6,80000000,4,1
D,유력,1,78000000,19,1
A,협의중,6,98000000,9,1
C,초기,4,22000000,23,0
C,유력,2,96000000,29,1
C,협의중,6,117000000,4,0
B,협의중,4,53000000,27,0
B,협의중,3,92000000,10,0
B,유력,3,38000000,5,1
B,초기,2,27000000,15,0
A,협의중,6,101000000,14,0
A,초기,3,105000000,34,1
B,협의중,1,30000000,13,1
C,유력,5,21000000,31,0
C,협의중,6,85000000,26,0
A,협의중,3,73000000,30,1
A,유력,6,63000000,33,1
D,유력,2,33000000,4,1
B,협의중,4,102000000,26,0
B,유력,6,41000000,29,1
A,초기,3,35000000,28,1
A,유력,1,85000000,20,1
A,유력,2,58000000,18,1
C,초기,4,79000000,33,0
A,협의중,6,87000000,7,1
A,협의중,1,79000000,35,0
A,초기,6,114000000,29,0
B,초기,3,70000000,6,0
A,협의중,4,21000000,15,1
D,협의중,5,46000000,11,0
D,협의중,4,100000000,13,0
B,협의중,1,73000000,4,1
B,협의중,2,116000000,5,0
B,협의중,3,56000000,23,0
D,협의중,4,67000000,11,0
A,협의중,3,86000000,7,1
B,초기,3,94000000,35,0
D,협의중,2,90000000,15,0
B,유력,5,104000000,29,1
B,협의중,2,116000000,11,0
C,초기,6,64000000,23,0
B,협의중,1,110000000,21,0
A,유력,3,41000000,34,1
B,협의중,5,76000000,24,1
C,초기,4,88000000,28,1
A,유력,4,76000000,20,1
B,초기,4,98000000,34,0
B,협의중,1,35000000,14,1
C,유력,1,26000000,20,1
B,초기,1,113000000,30,0
D,협의중,1,32000000,24,0
C,초기,2,47000000,17,0
B,초기,5,63000000,18,1
B,협의중,2,39000000,27,1
C,유력,1,91000000,20,0
A,초기,4,46000000,18,1
A,초기,2,53000000,9,1
C,협의중,5,67000000,31,1
A,초기,6,74000000,31,1
D,유력,4,20000000,20,1
C,협의중,5,61000000,23,1
B,협의중,4,95000000,16,1
C,협의중,6,105000000,27,1
B,초기,3,69000000,20,1
B,초기,5,78000000,4,0
B,협의중,1,75000000,4,1
B,협의중,4,73000000,31,0
A,초기,2,52000000,26,0
B,초기,2,92000000,15,0
D,협의중,2,29000000,13,1
C,초기,1,85000000,19,0
B,유력,3,41000000,17,1
A,초기,1,97000000,6,0
C,유력,6,40000000,21,0
D,유력,2,20000000,15,0
A,유력,3,118000000,14,1
C,협의중,3,110000000,14,1
D,초기,1,59000000,13,0
B,초기,5,25000000,28,1
A,초기,2,48000000,26,0
B,초기,2,108000000,10,0
A,협의중,1,26000000,27,1
B,협의중,4,104000000,28,0
C,유력,4,100000000,25,0
B,유력,4,114000000,19,1
B,협의중,4,34000000,5,1
B,협의중,3,32000000,29,1
B,초기,4,43000000,4,0
C,유력,4,93000000,11,0
B,초기,1,47000000,31,1
B,협의중,3,44000000,32,1
D,초기,2,99000000,9,0
A,협의중,4,101000000,30,1
B,유력,5,79000000,5,0
D,협의중,3,60000000,15,1
B,초기,1,36000000,20,1
B,협의중,3,21000000,31,1
C,협의중,5,59000000,21,0
C,협의중,4,115000000,34,0
B,협의중,5,111000000,35,1
D,유력,4,60000000,31,0
C,초기,2,29000000,27,0
A,초기,1,35000000,15,1
A,유력,2,72000000,19,0
A,유력,2,22000000,19,1
C,초기,2,104000000,34,0
C,유력,3,96000000,26,0
D,초기,5,88000000,24,0
B,초기,6,109000000,20,0
C,초기,1,73000000,33,0
D,협의중,6,69000000,6,0
B,유력,1,36000000,17,0
A,유력,4,37000000,9,1
B,협의중,4,71000000,24,1
A,협의중,6,26000000,23,0
A,협의중,4,37000000,29,1
A,유력,1,57000000,18,1
D,유력,4,93000000,16,0
C,초기,5,120000000,13,0
B,협의중,1,30000000,8,1
C,초기,4,81000000,8,0
C,협의중,2,24000000,3,0
A,초기,3,104000000,25,0
A,초기,3,60000000,9,1
B,유력,5,18000000,15,0
D,유력,4,31000000,20,0
C,협의중,5,54000000,11,1
C,초기,6,117000000,35,0
C,협의중,1,68000000,24,0
C,유력,3,83000000,22,1
C,협의중,2,119000000,22,0
A,협의중,6,37000000,5,1
B,초기,1,75000000,11,1
A,유력,6,58000000,18,1
B,초기,6,103000000,22,0
A,협의중,1,64000000,13,1
B,초기,3,67000000,14,0
B,유력,6,59000000,31,1
B,유력,4,102000000,23,0
C,유력,2,18000000,13,0
B,협의중,3,36000000,5,0
A,협의중,3,43000000,14,1
C,협의중,6,61000000,26,0
A,유력,5,43000000,16,1
C,유력,6,82000000,20,0
D,유력,5,96000000,15,0
D,유력,4,110000000,21,0
C,초기,3,20000000,29,0
D,초기,4,77000000,17,0
C,초기,3,56000000,5,0
C,협의중,4,51000000,3,0
A,유력,4,48000000,28,1
A,초기,3,86000000,29,1
D,협의중,6,118000000,22,0
C,협의중,5,45000000,21,0
D,유력,4,89000000,24,1
C,초기,4,28000000,24,0
D,초기,2,113000000,19,0
B,초기,2,72000000,16,0
B,유력,3,57000000,7,1
A,초기,1,48000000,7,0
C,유력,2,32000000,31,1
B,유력,5,77000000,35,1
C,초기,1,63000000,8,0
B,초기,3,110000000,4,0
C,유력,1,26000000,13,1
A,유력,5,42000000,33,0
C,협의중,3,67000000,30,1
B,유력,2,39000000,15,1
B,협의중,6,26000000,17,0
D,유력,5,116000000,32,0
C,초기,1,22000000,31,0
B,초기,6,65000000,24,0
C,유력,4,28000000,11,0
B,협의중,1,93000000,11,1
B,협의중,3,33000000,5,0
C,초기,5,72000000,21,1
A,유력,6,35000000,19,1
D,초기,4,27000000,26,0
B,초기,1,21000000,21,0
C,유력,5,95000000,9,1
A,초기,3,58000000,10,1
A,유력,2,24000000,20,1
C,유력,1,109000000,22,0
